id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kunjungan,persentase_kunjungan,satuan,tahun
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3 KALI (KN LENGKAP),107.6,PERSEN,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1 KALI (KN 1),106.8,PERSEN,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3 KALI (KN LENGKAP),105.7,PERSEN,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1 KALI (KN 1),123.6,PERSEN,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3 KALI (KN LENGKAP),123.5,PERSEN,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,1 KALI (KN 1),76.8,PERSEN,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,3 KALI (KN LENGKAP),131.7,PERSEN,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1 KALI (KN 1),108.7,PERSEN,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3 KALI (KN LENGKAP),107.2,PERSEN,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1 KALI (KN 1),108.4,PERSEN,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3 KALI (KN LENGKAP),107.6,PERSEN,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,1 KALI (KN 1),105.0,PERSEN,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,3 KALI (KN LENGKAP),103.7,PERSEN,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1 KALI (KN 1),96.1,PERSEN,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3 KALI (KN LENGKAP),92.1,PERSEN,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1 KALI (KN 1),105.1,PERSEN,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3 KALI (KN LENGKAP),104.7,PERSEN,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,1 KALI (KN 1),105.7,PERSEN,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,3 KALI (KN LENGKAP),105.6,PERSEN,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,1 KALI (KN 1),105.9,PERSEN,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,3 KALI (KN LENGKAP),104.1,PERSEN,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,1 KALI (KN 1),105.3,PERSEN,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,3 KALI (KN LENGKAP),100.2,PERSEN,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,1 KALI (KN 1),104.5,PERSEN,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,3 KALI (KN LENGKAP),101.8,PERSEN,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,1 KALI (KN 1),95.2,PERSEN,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,3 KALI (KN LENGKAP),91.6,PERSEN,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,1 KALI (KN 1),102.4,PERSEN,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,3 KALI (KN LENGKAP),94.6,PERSEN,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,1 KALI (KN 1),102.4,PERSEN,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,3 KALI (KN LENGKAP),96.8,PERSEN,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1 KALI (KN 1),103.6,PERSEN,2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3 KALI (KN LENGKAP),102.6,PERSEN,2019
53,32,JAWA BARAT,3279,KOTA BANJAR,1 KALI (KN 1),104.7,PERSEN,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,3 KALI (KN LENGKAP),103.3,PERSEN,2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,1 KALI (KN 1),95.8,PERSEN,2020
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,3 KALI (KN LENGKAP),91.6,PERSEN,2020
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1 KALI (KN 1),108.2,PERSEN,2020
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3 KALI (KN LENGKAP),104.7,PERSEN,2020
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1 KALI (KN 1),106.0,PERSEN,2020
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3 KALI (KN LENGKAP),101.2,PERSEN,2020
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1 KALI (KN 1),94.5,PERSEN,2020
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3 KALI (KN LENGKAP),93.9,PERSEN,2020
63,32,JAWA BARAT,3205,KABUPATEN GARUT,1 KALI (KN 1),103.1,PERSEN,2020
64,32,JAWA BARAT,3205,KABUPATEN GARUT,3 KALI (KN LENGKAP),100.8,PERSEN,2020
