id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_posyandu_aktif,satuan,tahun
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,531,UNIT,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,980,UNIT,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,456,UNIT,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,1988,UNIT,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,335,UNIT,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,1603,UNIT,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,1007,UNIT,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,404,UNIT,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,539,UNIT,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,200,UNIT,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,2585,UNIT,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1650,UNIT,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2929,UNIT,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4238,UNIT,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,4194,UNIT,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1641,UNIT,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1515,UNIT,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1346,UNIT,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,1791,UNIT,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,716,UNIT,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1264,UNIT,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1985,UNIT,2021
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,1372,UNIT,2021
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,704,UNIT,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1595,UNIT,2021
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,1752,UNIT,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1858,UNIT,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,531,UNIT,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,203,UNIT,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,378,UNIT,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,1423,UNIT,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,264,UNIT,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,1357,UNIT,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,1022,UNIT,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,391,UNIT,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,639,UNIT,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,200,UNIT,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,3009,UNIT,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3233,UNIT,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2838,UNIT,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4010,UNIT,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,3546,UNIT,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2023,UNIT,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1504,UNIT,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1340,UNIT,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,1915,UNIT,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,886,UNIT,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1410,UNIT,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1863,UNIT,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1460,UNIT,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,736,UNIT,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1803,UNIT,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,1466,UNIT,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2057,UNIT,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,493,UNIT,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,952,UNIT,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,445,UNIT,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,1749,UNIT,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,303,UNIT,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,1357,UNIT,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,1030,UNIT,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,391,UNIT,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,658,UNIT,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,196,UNIT,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,4685,UNIT,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3233,UNIT,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2528,UNIT,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3696,UNIT,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,4334,UNIT,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2112,UNIT,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1597,UNIT,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1393,UNIT,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,2706,UNIT,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1500,UNIT,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1431,UNIT,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2220,UNIT,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,1907,UNIT,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1047,UNIT,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2225,UNIT,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,2153,UNIT,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2340,UNIT,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,532,UNIT,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,982,UNIT,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,461,UNIT,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,1995,UNIT,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,328,UNIT,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,1359,UNIT,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,1059,UNIT,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,410,UNIT,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,819,UNIT,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,200,UNIT,2023
